"REF_DATE","GEO","DGUID","Visible minority (15)","Generation status (4)","Age (15B)","Gender (3)","Statistics (3)","Income sources and taxes (32)","Income statistics (4)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Saskatchewan","2021A000247","Total visible minority population","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","111.2.1.5.1.1.2.4","46200","","","","0"
"2021","Saskatchewan","2021A000247","Total visible minority population","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","111.2.1.5.2.1.2.4","53150","","","","0"
"2021","Saskatchewan","2021A000247","Total visible minority population","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","111.2.1.5.3.1.2.4","38760","","","","0"
"2021","Saskatchewan","2021A000247","Not a visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","111.15.1.5.1.1.2.4","61750","","","","0"
"2021","Saskatchewan","2021A000247","Not a visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","111.15.1.5.2.1.2.4","72800","","","","0"
"2021","Saskatchewan","2021A000247","Not a visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","111.15.1.5.3.1.2.4","50600","","","","0"
"2021","Alberta","2021A000248","Total - Visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","121.1.1.5.1.1.2.4","67800","","","","0"
"2021","Alberta","2021A000248","Total - Visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","121.1.1.5.2.1.2.4","83000","","","","0"
"2021","Alberta","2021A000248","Total - Visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","121.1.1.5.3.1.2.4","51850","","","","0"
"2021","Alberta","2021A000248","Total visible minority population","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","121.2.1.5.1.1.2.4","53950","","","","0"
"2021","Alberta","2021A000248","Total visible minority population","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","121.2.1.5.2.1.2.4","64200","","","","0"
"2021","Alberta","2021A000248","Total visible minority population","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","121.2.1.5.3.1.2.4","43720","","","","0"
"2021","Alberta","2021A000248","Not a visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","121.15.1.5.1.1.2.4","73000","","","","0"
"2021","Alberta","2021A000248","Not a visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","121.15.1.5.2.1.2.4","89900","","","","0"
"2021","Alberta","2021A000248","Not a visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","121.15.1.5.3.1.2.4","55100","","","","0"
"2021","British Columbia","2021A000259","Total - Visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","141.1.1.5.1.1.2.4","60700","","","","0"
"2021","British Columbia","2021A000259","Total - Visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","141.1.1.5.2.1.2.4","73100","","","","0"
"2021","British Columbia","2021A000259","Total - Visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","141.1.1.5.3.1.2.4","48440","","","","0"
"2021","British Columbia","2021A000259","Total visible minority population","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","141.2.1.5.1.1.2.4","51700","","","","0"
"2021","British Columbia","2021A000259","Total visible minority population","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","141.2.1.5.2.1.2.4","60900","","","","0"
"2021","British Columbia","2021A000259","Total visible minority population","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","141.2.1.5.3.1.2.4","43360","","","","0"
"2021","British Columbia","2021A000259","Not a visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","141.15.1.5.1.1.2.4","65600","","","","0"
"2021","British Columbia","2021A000259","Not a visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","141.15.1.5.2.1.2.4","79400","","","","0"
"2021","British Columbia","2021A000259","Not a visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","141.15.1.5.3.1.2.4","51400","","","","0"
"2021","Yukon","2021A000260","Total - Visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","170.1.1.5.1.1.2.4","70500","","","","0"
"2021","Yukon","2021A000260","Total - Visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","170.1.1.5.2.1.2.4","77300","","","","0"
"2021","Yukon","2021A000260","Total - Visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","170.1.1.5.3.1.2.4","64400","","","","0"
"2021","Yukon","2021A000260","Total visible minority population","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","170.2.1.5.1.1.2.4","58300","","","","0"
"2021","Yukon","2021A000260","Total visible minority population","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","170.2.1.5.2.1.2.4","60900","","","","0"
"2021","Yukon","2021A000260","Total visible minority population","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","170.2.1.5.3.1.2.4","56200","","","","0"
"2021","Yukon","2021A000260","Not a visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","170.15.1.5.1.1.2.4","72400","","","","0"
"2021","Yukon","2021A000260","Not a visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","170.15.1.5.2.1.2.4","79800","","","","0"
"2021","Yukon","2021A000260","Not a visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","170.15.1.5.3.1.2.4","65700","","","","0"
"2021","Northwest Territories","2021A000261","Total - Visible minority","Total - Generation status","25 to 64 years","Total - Gender" ,"Count","Market income","Average amount ($)","","0","units","0","","172.1.1.5.1.1.2.4","81000","","","","0"
"2021","Northwest Territories","2021A000261","Total - Visible minority","Total - Generation status","25 to 64 years","Men+" ,"Count","Market income","Average amount ($)","","0","units","0","","172.1.1.5.2.1.2.4","86400","","","","0"
"2021","Northwest Territories","2021A000261","Total - Visible minority","Total - Generation status","25 to 64 years","Women+" ,"Count","Market income","Average amount ($)","","0","units","0","","172.1.1.5.3.1.2.4","75700","","","","0"
